resultID,studyName,riskFactorName,fatality,fatalityLowerBound,fatalityUpperBound,fatalitypValue,fatalitySignificance,fatalityAdjusted,fatalityCalculated
1615516a77b3,"Outcomes of the 2019 Novel Coronavirus in patients with or without a history of cancer - a multi-centre North London experience",Cancer,"OR 1.0",0.28,3.63,1,"Not Significant","Not Adjusted",Calculated
e005ed85fd73,"Patients with arterial hypertension and COVID-19 are at higher risk of ICU admission",Hypertension,,,,,,,
0eee99bffc34,"Pharmacological characteristics of patients infected with SARS-Cov-2 admitted to Intensive Care Unit in South of France",Diabetes,,,,,,,
1aae3d274bfd,"Pharmacological characteristics of patients infected with SARS-Cov-2 admitted to Intensive Care Unit in South of France",Hypertension,,,,,,,
8aa6fc782949,"Pharmacological characteristics of patients infected with SARS-Cov-2 admitted to Intensive Care Unit in South of France","Heart Disease",,,,,,,
a48798e6dac6,"Pharmacological characteristics of patients infected with SARS-Cov-2 admitted to Intensive Care Unit in South of France","Overweight or obese",,,,,,,
07cf9f4fcdc4,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study",Hypertension,"OR: 1.82",1.11,2.98,,Significant,"Not Adjusted",Extracted
1706fc943960,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study",Cancer,"OR: 1.55",0.99,2.42,,"Not Significant","Not Adjusted",Extracted
1e0dbc02c3ad,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study",COPD,"OR: 1.36",0.8,2.32,,"Not Significant","Not Adjusted",Extracted
7530b10ae0f1,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study","Chronic kidney disease","OR: 0.62",0.24,1.6,,"Not Significant","Not Adjusted",Extracted
e027dee484fb,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study","Chronic liver disease","OR: 0.70",0.34,1.41,,"Not Significant","Not Adjusted",Extracted
faf3ced34f56,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study","Heart Failure","OR: 2.28",1.42,3.66,,Significant,"Not Adjusted",Extracted
fd9a067dc93f,"Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study",Age,"OR: 1.09",1.07,1.11,,Significant,"Not Adjusted",Extracted
34ec81c1ec19,"Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19",Hypertension,,,,,,,
431572a6647d,"Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19",Diabetes,,,,,,,
847cae529ecc,"Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19","Smoking Status",OR=3.30,1.02,10.72,<0.05,Significant,"Not Adjusted",Extracted
8b048759a2e1,"Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19","Neurological disorders",,,,,,,
acce16963b70,"Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19","Chronic digestive disorders",,,,,,,
af237eadcbf3,"Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19","Heart Disease",,,,,,,
0e602e3b008b,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity",Hypertension,,,,,,,
0ee03f3ad5ba,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Chronic respiratory diseases",,,,,,,
195ed8e8736b,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Male gender",,,,,,,
31ebcb869154,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Race_ Black vs",,,,,,,
3b59fc9f8d18,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Overweight or obese",,,,,,,
49a102fadaf7,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Ethnicity_ Hispanic vs",,,,,,,
4c86afa5dab1,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Chronic respiratory diseases",,,,,,,
50caf4372249,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity",Diabetes,,,,,,,
5f64e117e27c,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity",Diabetes,,,,,,,
69a34dd64452,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity",Hypertension,,,,,,,
bb277870c906,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Ethnicity_ Hispanic vs",,,,,,,
bfd17af45aec,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Male gender",,,,,,,
c41358c82753,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Race_ Black vs",,,,,,,
ce5de38f09a6,"Pre-Existing Characteristics Associated with Covid-19 Illness Severity","Overweight or obese",,,,,,,
7043373023ea,"Predicting COVID-19 malignant progression with AI techniques","Cardio- and cerebrovascular disease",,,,,,,
7c5b2f2b2c1c,"Predicting COVID-19 malignant progression with AI techniques","Chronic digestive disorders",,,,,,,
7bacf5a71fc3,"Prediction for Progression Risk in Patients with COVID-19 Pneumonia: the CALL Score","Smoking Status",,,,,,,
caf5a29b2c51,"Prediction of the clinical outcome of COVID-19 patients using T lymphocyte subsets with 340 cases from Wuhan, China: a retrospective cohort study and a web visualization tool","Male gender","OR 0.74",0.34,1.59,0.44,"Not Significant","Not Adjusted",Calculated
fe333691831f,"Prediction of the clinical outcome of COVID-19 patients using T lymphocyte subsets with 340 cases from Wuhan, China: a retrospective cohort study and a web visualization tool",Age,"AOR 1.05",1.01,1.09,0.04,Significant,Adjusted,Extracted
73a6cd6b2cda,"Predictive factors for disease progression in hospitalized patients with Coronavirus Disease 2019 in Wuhan, China",Diabetes,,,,,,,
8443e0983c5a,"Predictive factors for disease progression in hospitalized patients with Coronavirus Disease 2019 in Wuhan, China",Hypertension,,,,,,,
22c18bb54371,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis","Heart Disease",,,,,,,
5d51bc7ba3d3,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis",COPD,,,,,,,
6ef7400ab510,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis",Hypertension,,,,,,,
78409d1ba3b0,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis","Heart Disease",,,,,,,
80f781072e09,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis",COPD,,,,,,,
8598b419d894,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis",Hypertension,,,,,,,
f59b89650616,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis",Diabetes,,,,,,,
f9d80f23c36d,"Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis",Diabetes,,,,,,,
1461bcd2d96f,"Predictors of mortality for patients with COVID-19 pneumonia caused by SARS-CoV-2: a prospective cohort study","Cardio- and cerebrovascular disease","OR 4.08",1.58,10.51,<0.01,Significant,"Not Adjusted",Extracted
988a1c5e88bc,"Predictors of mortality for patients with COVID-19 pneumonia caused by SARS-CoV-2: a prospective cohort study","Cardio- and cerebrovascular disease","OR 2.46",0.76,8.04,0.01,"Not Significant",Adjusted,Extracted
4410609213f9,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.",Hypertension,OR=2.53,2.07,3.09,<0.05,Significant,"Not Adjusted",Extracted
59e19c875b04,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.","Cerebrovascular disease",OR=4.92,1.54,15.86,<0.05,Significant,"Not Adjusted",Extracted
adedb7f62df9,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.",COPD,OR=2.09,0.49,8.9,0.32,"Not Significant","Not Adjusted",Extracted
af53f36114b0,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.","Heart Disease",OR=3.81,2.11,6.85,<0.05,Significant,"Not Adjusted",Extracted
b3f18922fc32,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.","Smoking Status",OR=1.77,0.83,3.81,0.14,"Not Significant","Not Adjusted",Extracted
c54f6f20efb7,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.","Chronic kidney disease","OR 9.41",3.23,27.4,<0.01,Significant,"Not Adjusted",Extracted
f256764f6bba,"Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.",Diabetes,OR=1.97,1.67,2.31,<0.05,Significant,"Not Adjusted",Extracted
75673d220aa9,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]","Chronic kidney disease",,,,,,,
80044dad1ed3,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]","Smoking Status",,,,,,,
9c6cd1103e3d,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]","Chronic respiratory diseases",,,,,,,
9e8f4e848874,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]","Neurological disorders",,,,,,,
dc0804e3c2b7,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]","Immune system disorders",,,,,,,
f756d37e07e5,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]","Chronic liver disease",,,,,,,
02f127b88e0c,"Prevalence and impact of cardiovascular metabolic diseases on COVID-19 in China","Cardio- and cerebrovascular disease",,,,,,,
6c75d7f7d3e9,"Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis",Diabetes,ES=0.44,0.27,0.62,<0.05,Significant,"Not Adjusted",Extracted
868f23ae1320,"Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis",Hypertension,ES=0.42,0.26,0.57,<0.05,Significant,"Not Adjusted",Extracted
de56105698c5,"Prevalence of comorbidities and its effects in patients infected with SARS-CoV-2: a systematic review and meta-analysis","Respiratory system diseases",,,,,,,
0b47e7d9cfc0,"Prevalence of comorbidities in the novel Wuhan coronavirus (COVID-19) infection: a systematic review and meta-analysis","Respiratory system diseases",,,,,,,
34b3e4152a80,"Prevalence, Severity and Mortality associated with COPD and Smoking in patients with COVID-19: A Rapid Systematic Review and Meta-Analysis","Smoking Status",,,,,,,
374a46d24ca4,"Prevalence, Severity and Mortality associated with COPD and Smoking in patients with COVID-19: A Rapid Systematic Review and Meta-Analysis [medrxiv]",COPD,"RR 1.1",0.6,1.8,,"Not Significant","Not Adjusted",Extracted
67637da141c1,"Prognostic value of C-reactive protein in patients with COVID-19",Age,,,,,,,
87fc26e539a6,"Prognostic value of C-reactive protein in patients with COVID-19","Chronic liver disease","OR: 1.17",0.39,3.47,0.78,"Not Significant","Not Adjusted",Calculated
9108dccc31c6,"Prognostic value of C-reactive protein in patients with COVID-19","Chronic respiratory diseases","OR: 3.74",1.57,8.89,<0.01,Significant,"Not Adjusted",Calculated
a6030226148a,"Prognostic value of C-reactive protein in patients with COVID-19","Cerebrovascular disease","OR: 3.37",1.59,7.11,<0.01,Significant,"Not Adjusted",Calculated
d2e18ef3e68d,"Prognostic value of C-reactive protein in patients with COVID-19","Smoking Status","OR: 1.63",0.65,4.08,0.3,"Not Significant","Not Adjusted",Calculated
990b3f15b885,"Prognostic value of NT-proBNP in patients with severe COVID-19",COPD,"HR 4.13 (95% CI: 0.95-18.02) p=0.06",,,,"Not Significant","Not Adjusted",Extracted
279123063c57,"Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort",COPD,"OR 2.67",0.52,13.69,0.24,"Not Significant","Not Adjusted",Extracted
71c3d780dd1d,"Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort",Hypertension,"OR 0.81",0.14,4.55,0.81,"Not Significant","Not Adjusted",Extracted
73552fb7ab53,"Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort","Chronic kidney disease","OR 5.07",0.94,27.27,0.06,"Not Significant","Not Adjusted",Extracted
74756e5551ed,"Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort","Heart Disease","OR 0.72",0.15,3.45,0.68,"Not Significant","Not Adjusted",Extracted
a704077d2632,"Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort",Dementia,"OR 5.16",1.07,24.79,0.04,Significant,"Not Adjusted",Extracted
23a1e6c3eee9,"Radiographic Findings and other Predictors in Adults with Covid-19",Age,"AOR 1.06",1.01,1.12,0.03,Significant,Adjusted,Extracted
2ab591f6e5a0,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Cardio- and cerebrovascular disease",,,,,,,
529a3aa63efb,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Respiratory system diseases",,,,,,,
97fe224d1aa1,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Smoking Status",,,,,,,
9d2fd4465fe6,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Smoking Status",,,,,,,
a09b3f11117a,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Cardio- and cerebrovascular disease",,,,,,,
c3f64db23cb8,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Overweight or obese",,,,,,,
fe6036bc9671,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China","Neurological disorders",,,,,,,
0d830174757e,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Chronic respiratory diseases",OR=2.97,1.58,5.59,<0.05,Significant,"Not Adjusted",Extracted
2d8cdb0ac7bd,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Endocrine diseases",,,,,,,
3ffeebb22ee8,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis",Hypertension,OR=2.48,1.59,3.86,<0.05,Significant,"Not Adjusted",Extracted
651c9d94778d,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis",Diabetes,OR=1.89,1.07,3.36,<0.05,Significant,"Not Adjusted",Extracted
7179c363193c,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis",COPD,OR=3.65,1.25,10.64,<0.05,Significant,"Not Adjusted",Extracted
848599f9c83e,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Cerebrovascular disease",OR=2.98,1.4,6.35,<0.05,Significant,"Not Adjusted",Extracted
9261199edef6,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis",Cancer,,,,,,,
97934c9ffea7,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Chronic liver disease",,,,,,,
9b4914c9d9ad,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Chronic kidney disease",OR=4.26,0.62,29.09,0.14,"Not Significant","Not Adjusted",Extracted
ab66df5bc499,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Heart Disease",OR=3.36,1.39,8.1,<0.05,Significant,"Not Adjusted",Extracted
b9dd5e9308e2,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Smoking Status",OR=1.82,0.94,3.51,0.08,"Not Significant","Not Adjusted",Extracted
c3bd2957fc7d,"Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis","Chronic digestive disorders",OR=1.39,0.54,3.59,0.5,"Not Significant","Not Adjusted",Extracted
71e5aa7e6c60,"Risk factors for clinical progression in patients with COVID-19: a retrospective study of electronic health record data in the United Kingdom","Race_ Asian vs",AOR=2.24,1.11,4.51,<0.05,Significant,Adjusted,Extracted
7a231ce62439,"Risk factors for clinical progression in patients with COVID-19: a retrospective study of electronic health record data in the United Kingdom",Age,AOR=1.06,1.04,1.06,<0.05,Significant,Adjusted,Extracted
838ffe42149e,"Risk factors for clinical progression in patients with COVID-19: a retrospective study of electronic health record data in the United Kingdom","Race_ Black vs",AOR=1.85,0.71,4.65,0.2,"Not Significant",Adjusted,Extracted
e3de55b4cca2,"Risk factors for clinical progression in patients with COVID-19: a retrospective study of electronic health record data in the United Kingdom","Race_ Other vs",AOR=0.83,0.47,1.47,0.53,"Not Significant",Adjusted,Extracted
37a703791dcb,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]","Male gender","OR 1.63",0.72,3.68,0.24,"Not Significant","Not Adjusted",Calculated
6f7fa4727cf8,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]","Respiratory system diseases","OR 3.22",1.15,8.97,0.03,Significant,"Not Adjusted",Calculated
9845613eb18b,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]","Heart Disease","OR 5.89",2.55,13.59,<0.01,Significant,"Not Adjusted",Calculated
9ac755d1e0e6,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]","Chronic digestive disorders",,,,,,,
b1f50cf11db8,"Risk factors for disease severity, unimprovement, and mortality of COVID-19 patients in Wuhan, China [Clinical Microbiology and Infection]","Endocrine diseases",,,,,,,
3c704f880272,"Risk Factors for Mortality in 244 Older Adults With COVID‐19 in Wuhan, China: A Retrospective Study",Age,AOR=1.12,1.01,1.25,<0.05,Significant,Adjusted,Extracted
9be8052c7d9d,"Risk Factors for Mortality in 244 Older Adults With COVID‐19 in Wuhan, China: A Retrospective Study",Hypertension,AOR=0.82,0.24,2.75,0.74,"Not Significant",Adjusted,Extracted
a1aff0131972,"Risk Factors for Mortality in 244 Older Adults With COVID‐19 in Wuhan, China: A Retrospective Study","Male gender","OR 2.97",1.76,5.01,<0.05,Significant,"Not Adjusted",Calculated
c005e63282e2,"Risk Factors for Mortality in 244 Older Adults With COVID‐19 in Wuhan, China: A Retrospective Study","Heart Disease","OR 1.43",0.69,2.94,0.34,"Not Significant","Not Adjusted",Calculated
ffebe1d2494c,"Risk Factors for Mortality in 244 Older Adults With COVID‐19 in Wuhan, China: A Retrospective Study",Diabetes,"OR 1.18",0.64,2.2,0.59,"Not Significant","Not Adjusted",Calculated
16f6e15075dd,"Risk factors for predicting mortality in elderly patients with COVID-19: a review of clinical data in China","Male gender","OR 1.19",0.62,2.26,0.61,"Not Significant","Not Adjusted",Calculated
a3df1387ce07,"Risk factors for predicting mortality in elderly patients with COVID-19: a review of clinical data in China",Age,"OR: 1.05",1.01,1.09,,Significant,"Not Adjusted",Extracted
243c289a6bda,"Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis","Smoking Status",,,,,,,
41b5a6b7df3b,"Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis",COPD,,,,,,,
f8eb3af054f1,"Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis",Age,,,,,,,
6e774defebea,"Risk factors for severe COVID-19: evidence from 167 hospitalized patients in Anhui","Heart Disease",,,,,,,
3d6a6f7a57bf,"Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan","Male gender",,,,,,,
8607b7cc030f,"Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan","Male gender",,,,,,,
cf0fee2bae7b,"Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan","Heart Disease",,,,,,,
f7f991e41ed8,"Risk factors for severity and mortality in adult COVID-19 inpatients in Wuhan Risk factors for severity and mortality in adult COVID-19 1 inpatients in Wuhan",Cancer,,,,,,,
065dd0418e81,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis",Hypertension,,,,,,,
32ec45cc6aaa,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis","Respiratory system diseases",,,,,,,
5c52dfe2c227,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis",Diabetes,,,,,,,
68be25642220,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis","Chronic respiratory diseases",,,,,,,
6c271cafb483,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis",Cancer,,,,,,,
a53ebf5d8e10,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis","Smoking Status",,,,,,,
edac0c179db4,"Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis","Heart Disease",,,,,,,
9daa693ce873,"Risk Factors of Fatal Outcome in Hospitalized Subjects With Coronavirus Disease 2019 From a Nationwide Analysis in China Q28","Heart Disease","HR 4.28",1.14,16.13,,Significant,Adjusted,Extracted
c0a302e8d741,"Risk Factors of Fatal Outcome in Hospitalized Subjects With Coronavirus Disease 2019 From a Nationwide Analysis in China Q28","Cerebrovascular disease","HR 3.1",1.07,8.97,,Significant,Adjusted,Extracted
5904d0f79ac7,"Risk Factors of the Severity of COVID-19: A Meta-Analysis","Smoking Status",,,,,,,
65d788996c7f,"Risk Factors of the Severity of COVID-19: A Meta-Analysis",Hypertension,,,,,,,
9c8cc6a0d092,"Risk Factors of the Severity of COVID-19: A Meta-Analysis",Diabetes,,,,,,,
f4c346ef833f,"Risk Factors of the Severity of COVID-19: A Meta-Analysis","Male gender",,,,,,,
05030a09ecbd,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.","Chronic liver disease",,,,,,,
2d375b92e570,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.","Smoking Status",,,,,,,
84bee1bbf6d5,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",Hypertension,,,,,,,
89ce26a290d0,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.","Cardio- and cerebrovascular disease",,,,,,,
a67d4e6792f4,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",Age,,,,,,,
ceab5fd6f816,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.","Male gender",,,,,,,
db353dcb31e7,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",Cancer,,,,,,,
ed03407ad685,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",Diabetes,,,,,,,
0c267b91b1f4,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Smoking Status",AOR=0.83,0.37,1.87,0.65,"Not Significant",Adjusted,Extracted
1317950b2bde,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Overweight or obese",AOR=3.94,1.56,9.92,<0.05,Significant,Adjusted,Extracted
1704468df2a0,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Chronic kidney disease",OR=2.14,1.08,4.24,<0.05,Significant,"Not Adjusted",Extracted
33b001731c57,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",COPD,AOR=1.85,0.75,4.56,0.18,"Not Significant",Adjusted,Extracted
38f6187d4ef0,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",Diabetes,OR=1.76,0.91,3.4,0.09,"Not Significant","Not Adjusted",Extracted
3ba1e9860072,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Heart Failure",OR=3.18,1.46,6.93,<0.05,Significant,"Not Adjusted",Extracted
4e5494b8e92d,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Heart Disease",OR=2.88,1.31,6.34,<0.05,Significant,"Not Adjusted",Extracted
52b4d420faca,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",COPD,AOR=2.05,0.76,5.51,0.16,"Not Significant",Adjusted,Extracted
854fd3dfea16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Overweight or obese",AOR=3.78,1.45,9.83,<0.05,Significant,Adjusted,Extracted
a39af2f843aa,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Smoking Status",OR=1.19,0.6,2.36,0.62,"Not Significant","Not Adjusted",Extracted
b810390fc3db,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Overweight or obese",OR=2.56,1.18,5.57,<0.05,Significant,"Not Adjusted",Extracted
bf69c5af4edd,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Heart Failure",AOR=1.43,0.5,4.06,0.5,"Not Significant",Adjusted,Extracted
c42b9ec01ea4,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Heart Disease",AOR=1.53,0.54,4.34,0.43,"Not Significant",Adjusted,Extracted
cc00f512593c,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Overweight or obese",AOR=3.35,1.43,7.87,<0.05,Significant,Adjusted,Extracted
d88f0c0f47f8,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",Diabetes,AOR=1.16,0.55,2.44,0.7,"Not Significant",Adjusted,Extracted
f38f2340776b,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Heart Failure",AOR=1.46,0.52,4.13,0.47,"Not Significant",Adjusted,Extracted
fa13916bfbb8,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",COPD,OR=3.39,1.48,7.8,<0.05,Significant,"Not Adjusted",Extracted
fc618e87ae87,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York","Heart Disease",AOR=1.56,0.57,4.3,0.39,"Not Significant",Adjusted,Extracted
af3586de4f91,"Smoking is Associated with COVID-19 Progression: A Meta-Analysis","Smoking Status",,,,,,,
0f6decfd0856,"Smoking Prevalence is Low in Symptomatic Patients Admitted for COVID-19.",Diabetes,"OR 1.02",2.61,0.04,,Significant,"Not Adjusted",Calculated
36d50e118163,"Smoking Prevalence is Low in Symptomatic Patients Admitted for COVID-19.",Hypertension,"OR 0.83",1.84,0.3,,"Not Significant","Not Adjusted",Calculated
b87b0df7edf2,"Smoking Prevalence is Low in Symptomatic Patients Admitted for COVID-19.","Heart Disease","OR 1.33",3.91,0.0,,Significant,"Not Adjusted",Calculated
